scene,seq,N_req,N,n_vox,method,param,kept_frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
apartment_2,seq_0005,-1,18,48022,ror,0.3/8,0.9967723126900171,47867,53901,0.31101569972238774,0.20007555208912103,0.25554562590575436,0.2796498631625128,0.6950705923823306,0.3988351633378907,0.47485741742745524,0.7992430567150888,0.5957559886538295,0.8036643198863518,0.8940093875809354,0.8464329079044667,0.14250495739321506
apartment_2,seq_0005,-1,18,48022,ror,0.3/16,0.9803215193036525,47077,53901,0.29912654379599485,0.20154403059835294,0.2503352871971739,0.28402404571234363,0.6935121797369251,0.40300119813798113,0.4816789515049812,0.7947533440938016,0.5998217983173144,0.8133908277927651,0.8931374186007681,0.851400831815877,0.1443790198387535
apartment_2,seq_0005,-1,18,48022,ror,0.3/32,0.8962558827204198,43040,53901,0.2600782261306362,0.22097954818819868,0.24052888715941745,0.30099907063197023,0.6699133596779281,0.41536866224410396,0.5133596654275093,0.7765162056362591,0.6180937382691167,0.858550185873606,0.8860503515704717,0.8720835259499475,0.1487885911908139
apartment_2,seq_0005,-1,18,48022,cluster,5,0.9981258589813002,47932,53901,0.3126030954802394,0.1998073657797383,0.25620523062998884,0.2792080447300342,0.6946438841579934,0.3983155034685563,0.4741717433030126,0.798482402923879,0.5950050044840594,0.8028039722940833,0.8939908350494425,0.8459471828486032,0.14229890800085648
apartment_2,seq_0005,-1,18,48022,cluster,20,0.9954395901878306,47803,53901,0.3105863853408748,0.19995640040039722,0.255271392870636,0.2799615086919231,0.6946438841579934,0.3990816206009586,0.47540949312804637,0.798482402923879,0.5959785373031882,0.8045310963747045,0.8939722825179496,0.8468967557211066,0.14262720200304033
apartment_2,seq_0005,-1,18,48022,cluster,100,0.9925450835033943,47664,53901,0.30738842852173365,0.20003660405102358,0.2537125162863786,0.2807569654246391,0.6946067790950076,0.3998830027419966,0.4767119838872105,0.7979072744475983,0.5968401266067139,0.8065416247062773,0.8939722825179496,0.8480093624889514,0.14298264486517498
apartment_2,seq_0005,-1,18,48022,cluster,500,0.9890883345133481,47498,53901,0.30427269536616497,0.20023375880477176,0.2522532270854684,0.28156975030527603,0.693994545555741,0.4006048022347717,0.47812539475346333,0.7970538579989239,0.5977068552094869,0.8086656280264433,0.8939722825179496,0.8491819109671607,0.14334777839713736
apartment_2,seq_0005,-1,18,48022,cluster,2000,0.9890883345133481,47498,53901,0.30427269536616497,0.20023375880477176,0.2522532270854684,0.28156975030527603,0.693994545555741,0.4006048022347717,0.47812539475346333,0.7970538579989239,0.5977068552094869,0.8086656280264433,0.8939722825179496,0.8491819109671607,0.14334777839713736
apartment_2,seq_0005,-1,18,48022,consensus,0.06,0.9969805505809837,47877,53901,0.31420899347173475,0.199646097435355,0.2569275454535449,0.2791737159805335,0.6949963822563588,0.39833848930221083,0.4739854209745807,0.7992430567150888,0.5950692485067808,0.8017628506380935,0.8940279401124284,0.8453854021667415,0.14233667892988536
apartment_2,seq_0005,-1,18,48022,consensus,0.05,0.9053975261338553,43479,53901,0.32111776504693473,0.2013352848286202,0.2612265249377775,0.27795027484532764,0.6915827164616611,0.3965323673197863,0.4670530600979783,0.7989833212741878,0.5895053422776144,0.7943374962625636,0.8940093875809354,0.8412313670394937,0.1380588460068781
apartment_2,seq_0005,-1,18,48022,consensus,0.04,0.5387947190870851,25874,53901,0.39892081912120064,0.2277550306882404,0.3133379249047205,0.19726366236376286,0.4635164468191685,0.2767484995226287,0.3646904228182732,0.7817480195172631,0.4973594835049282,0.7122207621550591,0.8937125470770486,0.7927111639911287,0.06551382646453874
