method,N_req,frac,N,n_cand,kept,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
A_point,4,0.05,4.0,28508.5641025641,1424.974358974359,1424.974358974359,34478.53846153846,0.18929914595370875,1.3577563105631951,0.7735277282584518,0.7548482289201943,0.14983092462154596,0.24914237038096318,0.8394084984513526,0.21518152624072193,0.34078221517361085,0.8858528880994285,0.35305335566266294,0.5009043223046566,0.05804828560085982
A_point,4,0.1,4.0,28508.5641025641,2850.4358974358975,2850.4358974358975,34478.53846153846,0.19501876734710308,1.0171265519536619,0.6060726596503825,0.6912438516063166,0.2502680523395811,0.365734864749999,0.8109408877048486,0.3481546215486309,0.48437412833203514,0.8926958696582116,0.5130369928019942,0.6471195500276518,0.09687060208070236
A_point,4,0.25,4.0,28508.5641025641,7126.74358974359,7126.74358974359,34478.53846153846,0.22718004595708335,0.5117099282628157,0.36944498710994955,0.5569255985508648,0.4139683370313541,0.4727167307796053,0.7260534181227681,0.571465751010841,0.6364067810099207,0.8802513691973112,0.7482962412957666,0.8055983647260809,0.14632971453749638
A_point,4,0.5,4.0,28508.5641025641,14254.0,14254.0,34478.53846153846,0.2886572042882074,0.2919788400071544,0.29031802214768093,0.4360968960943769,0.5182703851887317,0.47139056391912293,0.6229771901383431,0.6893559723553221,0.651490599984393,0.8358684628163585,0.8551309912225651,0.8427360296290545,0.15772446556206046
A_point,4,1.0,4.0,28508.5641025641,28508.5641025641,28508.5641025641,34478.53846153846,0.45462734643844865,0.22939773797041094,0.3420125422044298,0.3094409757161614,0.5983600801918296,0.405801625514314,0.4869220330094949,0.7649858834971432,0.5916800751196828,0.7365968068969108,0.8982168059809098,0.8061295888163337,0.13649641564394596
A_point,8,0.02,8.0,44257.256410256414,884.6923076923077,884.6923076923077,44439.41025641026,0.21294801024430732,1.8319622245607934,1.0224551174025502,0.787329809346189,0.07921628077439802,0.1436581692107473,0.8355104448046513,0.11178841145956497,0.1966373794270458,0.860178396157585,0.20503511598481697,0.3290224270045349,0.035001316421760534
A_point,8,0.05,8.0,44257.256410256414,2212.4615384615386,2212.4615384615386,44439.41025641026,0.1972656007914735,1.4346228703275956,0.8159442355595347,0.7457216218090084,0.1693492104740459,0.2750667414126023,0.8319833664810817,0.22705876310466921,0.3551034616181809,0.8830670026266143,0.346721063827597,0.4944367671989913,0.07609120460669923
A_point,8,0.1,8.0,44257.256410256414,4425.333333333333,4425.333333333333,44439.41025641026,0.20703079523217438,1.0595981177749656,0.63331445650357,0.6579223430823268,0.26793144562864313,0.3791815837656344,0.7901264834544499,0.3582366267176606,0.4900422130320145,0.8889050557354952,0.5055117308280225,0.6394403942946456,0.11591196216787615
A_point,8,0.25,8.0,44257.256410256414,11064.051282051281,11064.051282051281,44439.41025641026,0.23845357209857881,0.5117852116952744,0.3751193918969266,0.5126641342088752,0.4279455152066822,0.46406279793852906,0.6962178885871629,0.5657502289586159,0.6209345888641195,0.875856026168887,0.7261210893221227,0.7906844900096442,0.15645163696038678
A_point,8,0.5,8.0,44257.256410256414,22128.384615384617,22128.384615384617,44439.41025641026,0.3127005461754285,0.29282352261993577,0.30276203439768207,0.38801832773549105,0.5383941109972519,0.4486428423005829,0.5815297932996324,0.6976687589976862,0.6311064416501178,0.8207126658213004,0.8520639190180598,0.8337502713745543,0.155679123424705
A_point,8,1.0,8.0,44257.256410256414,44257.256410256414,44257.256410256414,44439.41025641026,0.49010380476854426,0.23452467817487,0.3623142414717071,0.27187485673970335,0.6370106602877014,0.37916091327041473,0.44574153737144456,0.7811412744144022,0.5644597849486195,0.7135618862229279,0.8907676289742452,0.7898580550226503,0.12849483375743198
