scene,ranking,N_req,frac,n_steps,N_req,N,seed,frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
apartment_2,oracle,16,0.1,27.416666666666668,16.0,15.916666666666666,1.0,0.1,7556.277777777777,56913.38888888889,0.03667235757154141,0.5363788623868387,0.2865256099791901,1.0,0.5166022947049813,0.6802708500459859,1.0,0.6190307951955902,0.7629821960159062,1.0,0.7342736606792247,0.8444460206949675,0.2810913067378051
apartment_2,oracle,16,0.25,27.416666666666668,16.0,15.916666666666666,1.0,0.25,18891.527777777777,56913.38888888889,0.08427569796709833,0.4718674461405461,0.2780715720538222,0.683747208594279,0.5857959847057013,0.6271530940631131,0.9393150187397171,0.6804411535612785,0.788418076164142,1.0,0.7680239281743477,0.8665420070306293,0.25054675970191087
apartment_2,oracle,16,0.5,27.416666666666668,16.0,15.916666666666666,1.0,0.5,37783.47222222222,56913.38888888889,0.20928291160023468,0.4401286629676031,0.3247057872839189,0.3478945755670498,0.5863456399189002,0.4332798462492975,0.586559001903701,0.6877246032560074,0.6282953111684831,0.9238714337919023,0.7838948116296904,0.847212310592685,0.15693988073887813
apartment_2,oracle,16,0.75,27.416666666666668,16.0,15.916666666666666,1.0,0.75,56675.22222222222,56913.38888888889,0.4160499274117335,0.4336462511074858,0.42484808925960965,0.23192978555250537,0.5863456399189002,0.3301099984227027,0.39103944038427585,0.6877246032560074,0.4950085209135475,0.7016471661853418,0.7851903554997333,0.7377103723356729,0.11414637396707761
apartment_2,oracle,16,0.9,27.416666666666668,16.0,15.916666666666666,1.0,0.8999999999999999,68010.16666666667,56913.38888888889,0.6266571971880706,0.4332055867773046,0.5299313919826876,0.19327521591623337,0.5863456399189002,0.28888793313351246,0.3258668639747022,0.6877246032560074,0.43919483998817854,0.59024400058565,0.7852471178509612,0.6701647697235948,0.0981019222827827
apartment_2,oracle,16,1.0,27.416666666666668,16.0,15.916666666666666,1.0,1.0,75567.27777777778,56913.38888888889,0.8642092368437312,0.43305772541253085,0.6486334811281309,0.17394665896878864,0.5863456399189002,0.266694847524305,0.2932784299124918,0.6877246032560074,0.408505970247641,0.5312164416260093,0.7852471178509612,0.6302473648166915,0.08969710225387267
apartment_2,oracle,32,0.1,27.416666666666668,32.0,25.083333333333332,1.0,0.1,9834.333333333334,64926.583333333336,0.04076183939310799,0.5547063268157966,0.2977340831044523,0.9835194472525856,0.5360088078374351,0.6931125253435488,1.0,0.6247935774756321,0.7666899309601476,1.0,0.7263073919012917,0.8384588625282631,0.3086303485537692
apartment_2,oracle,32,0.25,27.416666666666668,32.0,25.083333333333332,1.0,0.25,24586.63888888889,64926.583333333336,0.09739612425984827,0.4965393382725634,0.29696773126620585,0.6142342547377074,0.5873789134811025,0.5960754450459914,0.9054912581757546,0.6733225537539339,0.7714124891291071,1.0,0.7550972164465658,0.8575226095941448,0.24454085476327833
apartment_2,oracle,32,0.5,27.416666666666668,32.0,25.083333333333332,1.0,0.5,49173.77777777778,64926.583333333336,0.23563692995246222,0.4672239335004175,0.35143043172643984,0.3119063586715171,0.5876943065164821,0.40384986787652666,0.54022134806218,0.6775419435738894,0.5960466291216986,0.9025205661539171,0.766489138579831,0.8274904909735918,0.14867060456679393
apartment_2,oracle,32,0.75,27.416666666666668,32.0,25.083333333333332,1.0,0.75,73760.72222222222,64926.583333333336,0.46077540775018705,0.46266942749585077,0.4617224176230189,0.20793779200829454,0.5876943065164821,0.30479462644578326,0.3601479281222088,0.6775419435738894,0.46659618976150763,0.667100479042552,0.767317199993536,0.7100474301256707,0.10675285763547047
apartment_2,oracle,32,0.9,27.416666666666668,32.0,25.083333333333332,1.0,0.8999999999999999,88512.75,64926.583333333336,0.6850324309833916,0.4621575644692131,0.5735949977263024,0.1732818662877959,0.5876943065164821,0.2657384888776184,0.30012390294796,0.6775419435738894,0.41288462013917754,0.5606942573658881,0.7673728575880147,0.6439982756396454,0.09130972208263162
apartment_2,oracle,32,1.0,27.416666666666668,32.0,25.083333333333332,1.0,1.0,98348.0,64926.583333333336,0.92898202233575,0.46203585530677327,0.6955089388212616,0.15595260306836944,0.5876943065164821,0.24483244899146028,0.27010966571185063,0.6775419435738894,0.3834741498972617,0.5046214772265335,0.7673728575880147,0.6052111746428955,0.08327826060299172
apartment_2,support,-1,0.1,27.416666666666668,-1.0,27.416666666666668,0.0,0.10000000000000002,10260.75,66284.75,0.186767102696657,1.0598278665149874,0.6232974846058222,0.5668089217344295,0.3147838173395044,0.4022010079400975,0.7207963980499651,0.38251252255930024,0.497514851233772,0.9134398232903506,0.4948903960813967,0.6408140531583003,0.13175812607775791
apartment_2,support,-1,0.25,27.416666666666668,-1.0,27.416666666666668,0.0,0.25,25652.5,66284.75,0.3228433883386915,0.7295061842247735,0.5261747862817325,0.36069421939855006,0.4318259686140972,0.3900675100689246,0.5364849272359457,0.521615592486839,0.5263085149959951,0.8013749964414822,0.6407355213622828,0.710600723049393,0.1376565766490249
apartment_2,support,-1,0.5,27.416666666666668,-1.0,27.416666666666668,0.0,0.5,51305.666666666664,66284.75,0.5487398071445352,0.5540431615207669,0.5513914843326511,0.23953918076851152,0.5139311048883751,0.3241689269086202,0.3916447059617974,0.6091327618616514,0.47361868687660724,0.6658508246292788,0.7207658730476633,0.6900256005822715,0.11428774701347662
apartment_2,support,-1,0.75,27.416666666666668,-1.0,27.416666666666668,0.0,0.75,76958.58333333333,66284.75,0.7534704705939014,0.5025087972018522,0.6279896338978769,0.18337368990456884,0.5484491731050665,0.2727810538565593,0.31170252790237246,0.6416545862242735,0.41673879804237685,0.5638314766371036,0.7453088694559192,0.6388246450813274,0.09435353096418247
apartment_2,support,-1,0.9,27.416666666666668,-1.0,27.416666666666668,0.0,0.9,92350.16666666667,66284.75,0.8798814398676371,0.4912586046382403,0.6855700222529387,0.16173799516045947,0.5613205783036039,0.2491234014364717,0.27838833709426364,0.6497741858148754,0.3866816791736813,0.5149135658650835,0.7494210313661243,0.6066411856998422,0.08538117210419693
apartment_2,support,-1,1.0,27.416666666666668,-1.0,27.416666666666668,0.0,1.0,102611.83333333333,66284.75,0.938143540813723,0.4666990873127872,0.702421314063255,0.15331364654598648,0.586364830845035,0.24134651744625246,0.266626612972327,0.6762782783777731,0.3796434449412846,0.5003619115675683,0.7650143366520726,0.6013656113821303,0.08210874326027684
