,,,n_steps,n_steps,N_req,N_req,N,N,seed,seed,frac,frac,n_pred,n_pred,n_ref,n_ref,acc,acc,comp,comp,chamfer,chamfer,precision@0.1,precision@0.1,recall@0.1,recall@0.1,f1@0.1,f1@0.1,precision@0.2,precision@0.2,recall@0.2,recall@0.2,f1@0.2,f1@0.2,precision@0.5,precision@0.5,recall@0.5,recall@0.5,f1@0.5,f1@0.5,iou,iou
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
ranking,N_req,frac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oracle,1,0.5,23.666666666666668,10.560988720693754,1.0,0.0,1.0,0.0,1.0,0.8200084103858011,0.5,0.0,4440.444444444444,907.0559942078285,14272.649572649572,2647.965293410693,0.1079370426660642,0.06589267855185138,0.40907476269774473,0.15276743808437493,0.25850590268190443,0.10131723942617339,0.6294855496630846,0.17839416519232776,0.42701529238838387,0.08639793806083598,0.5036289023360645,0.1117151469289931,0.8741482209300695,0.15830618444151204,0.5765971560870665,0.08973046144836053,0.6907989637545789,0.10685482545189301,0.9880625778599282,0.06229598676064379,0.7659567368299783,0.07932275071661679,0.860492293766989,0.0634806225066546,0.15613073446572662,0.054251243623181254
oracle,1,0.75,23.666666666666668,10.560988720693754,1.0,0.0,1.0,0.0,1.0,0.8200084103858011,0.75,0.0,6660.641025641025,1360.6029562327446,14272.649572649572,2647.965293410693,0.21549382098104963,0.13823257783102763,0.378535755398549,0.1586568001709894,0.2970147881897993,0.138450927812185,0.42086386205769394,0.12212520336811931,0.42740508605381006,0.08718332482640763,0.4195990823392753,0.09822019297337992,0.6335456817294275,0.16123364899547601,0.5862676161354305,0.09867895146555351,0.6037738265815579,0.12037135725135495,0.9022722166590733,0.1329456011181851,0.7933985834488223,0.0891839138697358,0.8413093391534123,0.10336360405302124,0.12866929774717834,0.04528829405643921
oracle,1,0.9,23.666666666666668,10.560988720693754,1.0,0.0,1.0,0.0,1.0,0.8200084103858011,0.9,0.0,7992.777777777777,1632.6593079111187,14272.649572649572,2647.965293410693,0.3270775134734301,0.208694120986412,0.3729980120135871,0.16062282235722974,0.3500377627435086,0.1726169870037695,0.35071944665323906,0.1017736378927471,0.42740508605381006,0.08718332482640763,0.38125315634017964,0.09089511799369125,0.5283320614051773,0.13528986393916007,0.5863169330955331,0.09877988000482318,0.5510729141451732,0.11262443792319517,0.7941679565883154,0.15032896790657055,0.7965314899852912,0.09108582739261376,0.7910388470870171,0.11464837833577306,0.11633272436145084,0.041027342155636824
oracle,1,1.0,23.666666666666668,10.560988720693754,1.0,0.0,1.0,0.0,1.0,0.8200084103858011,1.0,0.0,8881.367521367521,1814.060517744514,14272.649572649572,2647.965293410693,0.4548148234155179,0.27266256619347295,0.3722192664081865,0.161030230752704,0.41351704491185215,0.20254887103629468,0.31562834115379074,0.09158880814728164,0.42740508605381006,0.08718332482640763,0.3593738218275571,0.08659595467060519,0.47546987639961585,0.12174992493550502,0.5863169330955331,0.09877988000482318,0.5206834933787405,0.10772331480897825,0.7168176378090151,0.13865389111374476,0.7965794894897841,0.09110279740873732,0.7503272534171379,0.11138250067116044,0.10934527999541631,0.038612325141148374
oracle,2,0.1,23.666666666666668,10.560988720693754,2.0,0.0,2.0,0.0,1.0,0.8200084103858011,0.1,0.0,1555.837606837607,339.9878029573129,21906.358974358973,3868.750258117175,0.029234405817459473,0.006215938568487017,0.500500147128687,0.1874709051401167,0.26486727647307323,0.09540661077915497,1.0,0.0,0.3026118245037436,0.04159855564322444,0.46306457478074087,0.04930082766284845,1.0,0.0,0.4495983746498655,0.05940782515231946,0.6179969336851443,0.05700806392210517,1.0,0.0,0.6929376278039597,0.08470870373042792,0.8156548462072953,0.05993905587440817,0.12639723919473847,0.018237542225516837
oracle,2,0.25,23.666666666666668,10.560988720693754,2.0,0.0,2.0,0.0,1.0,0.8200084103858011,0.25,0.0,3890.2991452991455,850.0259556377582,21906.358974358973,3868.750258117175,0.051356296854388576,0.019662784577078783,0.418547440143905,0.17886397009135407,0.2349518684991468,0.09541986634220172,0.9284060445807458,0.12651087808016354,0.4366770987037006,0.06723283901797929,0.5910936420278444,0.07991900782169667,0.9932316229746044,0.039738570440308894,0.5620621167481135,0.06926830730366283,0.715435160447621,0.05954537412761762,1.0,0.0,0.7542672602032617,0.08164451589262486,0.857438411186424,0.05394793641337086,0.2042472385218792,0.053034673895590016
oracle,2,0.5,23.666666666666668,10.560988720693754,2.0,0.0,2.0,0.0,1.0,0.8200084103858011,0.5,0.0,7781.008547008547,1700.0818261023671,21906.358974358973,3868.750258117175,0.11746003332015632,0.06789381486969992,0.35558925245124584,0.17943267917520192,0.23652464288570108,0.11716879022341567,0.591562365355953,0.17427013383281942,0.471204569476806,0.09127758199426671,0.5193150987767438,0.11906303521970371,0.8515078295511428,0.17597994736450923,0.6310108120902008,0.09713928103556545,0.7204281808288754,0.12062212799051972,0.984372199551643,0.06453149908223367,0.809901150760687,0.08464176421537693,0.8867820504204714,0.06849290297140402,0.17143847848151567,0.05976476375521688
oracle,2,0.75,23.666666666666668,10.560988720693754,2.0,0.0,2.0,0.0,1.0,0.8200084103858011,0.75,0.0,11671.495726495727,2550.1450453134526,21906.358974358973,3868.750258117175,0.23295159688186487,0.15185951105339893,0.3334366562464958,0.18330747448838605,0.28319412656418036,0.1583033822471447,0.3943765741464869,0.11618314031215213,0.471204569476806,0.09127758199426671,0.4251395377316523,0.10209545121590724,0.6077965577746242,0.16212879842092603,0.6371547532289888,0.10389023515350809,0.6170714993830184,0.1298336926844819,0.8917736572228846,0.14936647882517717,0.8308799702434951,0.09282793713359631,0.8571705896383877,0.1151301726965661,0.13668858201075806,0.04739532227080843
oracle,2,0.9,23.666666666666668,10.560988720693754,2.0,0.0,2.0,0.0,1.0,0.8200084103858011,0.9,0.0,14005.760683760684,3060.1537476857898,21906.358974358973,3868.750258117175,0.353773131562323,0.2346188869766153,0.3293773604006393,0.18388248788648515,0.34157524598148115,0.19832136654750498,0.32864737149103923,0.09681773983000377,0.471204569476806,0.09127758199426671,0.3835170046751303,0.09401514348815233,0.5064976016183292,0.13510537929916946,0.6371547532289888,0.10389023515350809,0.5598673557152101,0.12059453260979022,0.7823478127442864,0.16013771593555204,0.8326104915584585,0.09397132239182505,0.8023275315838883,0.12498820084857712,0.12188331112657975,0.04218648049216566
oracle,2,1.0,23.666666666666668,10.560988720693754,2.0,0.0,2.0,0.0,1.0,0.8200084103858011,1.0,0.0,15562.478632478633,3400.205114498268,21906.358974358973,3868.750258117175,0.49475286137620095,0.3094009463161355,0.32880019747889877,0.1840788042397415,0.4117765294275499,0.23405729427726404,0.2957718417322685,0.08713129244759564,0.471204569476806,0.09127758199426671,0.3600350522207868,0.08928902209596348,0.45583115971788785,0.12158753034349383,0.6371547532289888,0.10389023515350809,0.5272995325396361,0.11509433270355118,0.7048261198244072,0.14522381033643317,0.8326222060898181,0.09397512342176097,0.7592340842595677,0.12053802882485964,0.11367686188824602,0.03931435701632837
