scene,seq,n_steps,N_req,N,ranking,ref,frac,n_cand,k,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,hit_b0,hit_b1,hit_b2,hit_b3,hit_b4,hit_b5,hit_b6,hit_b7,hit_b8,nref_b0,nref_b1,nref_b2,nref_b3,nref_b4,nref_b5,nref_b6,nref_b7,nref_b8
office_4,seq_0004,18,16,16,topk_mass2,fixed,0.1,219950,2,21995,52573,0.22056928611098023,0.2797639665699577,0.250166626340469,0.39499886337804047,0.5299868753923116,0.4526431156950335,0.5849056603773585,0.6301523595762083,0.6066865548204159,0.8908842918845192,0.7965495596599015,0.8410800693124014,0.1638273708120386,6539.0,8555.0,3052.0,1104.0,5688.0,7729.0,30.0,3.0,429.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
office_4,seq_0004,18,16,16,topk_mass2,subset,0.1,219950,2,21995,51460,0.2206344756388434,0.2756336084657997,0.24813404205232154,0.3943168902023187,0.5342790516906335,0.45375010735763255,0.584860195498977,0.6336960746210649,0.6082995413142467,0.8907933621277563,0.8003886513797124,0.8431746459894406,0.16397696348332383,,,,,,,,,,,,,,,,,,
office_4,seq_0004,18,16,16,topk_count3,fixed,0.5,391259,3,195629,52573,3.2607660771544342,0.11132383727877343,1.6860449572166039,0.060113786810748915,0.6608144865235006,0.11020253368787122,0.09835453843755271,0.840678675365682,0.176105726345928,0.18045381819668863,0.9824244383999391,0.3049024951551762,0.03274973141884434,6583.0,9039.0,3350.0,2491.0,7577.0,9970.0,1910.0,1075.0,2202.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
office_4,seq_0004,18,16,16,topk_count3,subset,0.5,391259,3,195629,51460,3.2609921168963583,0.1104314763957879,1.685711796646073,0.06001155247943812,0.6641663427905169,0.11007696754011437,0.09824719238967637,0.8422658375437233,0.17596833037022327,0.1803975893144677,0.9831130975514963,0.30485535685019427,0.03264022142937767,,,,,,,,,,,,,,,,,,
office_4,seq_0004,18,16,16,topk_count3,fixed,0.25,391259,3,97814,52573,2.581479858539302,0.15502244961788397,1.368251154078593,0.09836015294334144,0.5925665265440435,0.1687152513005279,0.15357719753818472,0.7399615772354631,0.25436215758302183,0.26608665426217104,0.9363361421261864,0.4144075645795333,0.053699306321634915,6579.0,9010.0,3336.0,1400.0,6431.0,9011.0,1149.0,378.0,1608.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
office_4,seq_0004,18,16,16,topk_count3,subset,0.25,391259,3,97814,51460,2.5816650312222147,0.15362618908197245,1.3676456101520935,0.09815568323552866,0.5961523513408472,0.16855844508275206,0.15347496268427832,0.7424601632335794,0.25436896612374593,0.2660253133498272,0.937679751263117,0.4144645677498569,0.05361503841007551,,,,,,,,,,,,,,,,,,
office_4,seq_0004,18,16,16,topk_count3,fixed,0.1,391259,3,39125,52573,1.9833481041962644,0.3506226886221665,1.1669853964092154,0.1658785942492013,0.47764061400338576,0.24624083505556646,0.23680511182108627,0.594601791794267,0.3387143964828137,0.3675399361022364,0.7656211363247294,0.4966572720692347,0.08543470835258896,6535.0,8645.0,3228.0,499.0,5075.0,6803.0,45.0,1.0,429.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
office_4,seq_0004,18,16,16,topk_count3,subset,0.1,391259,3,39125,51460,1.9834915233690822,0.3451133917291736,1.1643024575491279,0.16562300319488818,0.482258064516129,0.24656694859848025,0.23677955271565496,0.5985036921881073,0.3393182789181787,0.3675143769968051,0.7694131364166342,0.4974290553218212,0.08546578348668184,,,,,,,,,,,,,,,,,,
office_4,seq_0004,18,16,16,topk_mass3,fixed,0.5,391259,3,195629,52573,2.012312960472498,0.07383819401327579,1.043075577242887,0.08198171027812849,0.814752819888536,0.14897347516209924,0.14281624912461854,0.9563083712171647,0.24851845196814726,0.2770601495688267,0.9974321419740171,0.4336608393378996,0.04297229144269783,6584.0,9146.0,3391.0,3052.0,8739.0,10913.0,4011.0,1510.0,2930.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
office_4,seq_0004,18,16,16,topk_mass3,subset,0.5,391259,3,195629,51460,2.0125370788771773,0.07341559620798015,1.0429763375425787,0.08181813534803123,0.817178390983288,0.14874364969974582,0.1426680093442179,0.9569762922658376,0.24831648271586704,0.27694769180438483,0.9975709288767975,0.43353617857058313,0.042777992526736246,,,,,,,,,,,,,,,,,,
office_4,seq_0004,18,16,16,topk_mass3,fixed,0.25,391259,3,97814,52573,0.8268642161235242,0.07580932278574726,0.45133676945463574,0.16214447829554052,0.8053944039716204,0.26994316786137607,0.2812583065818799,0.9502976813193084,0.4340511015695704,0.5387367861451327,0.9974131208034542,0.6995972681182139,0.08237621480428686,6577.0,9112.0,3381.0,3004.0,8594.0,10841.0,4011.0,1510.0,2930.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
office_4,seq_0004,18,16,16,topk_mass3,subset,0.25,391259,3,97814,51460,0.8270290391458646,0.07536442477477073,0.4511967319603176,0.1618275502484307,0.8079284881461329,0.2696453186907837,0.2809822724763326,0.9511076564321803,0.43380663116157475,0.5385220929519292,0.9975514963078119,0.699450239070771,0.0820240806403567,,,,,,,,,,,,,,,,,,
office_4,seq_0004,18,16,16,topk_mass3,fixed,0.1,391259,3,39125,52573,0.29157360961902395,0.15279759579063373,0.22218560270482884,0.29633226837060705,0.6129191790462785,0.39951045702621546,0.4728178913738019,0.7494721625168813,0.5798359340266515,0.8074632587859425,0.9306107697867727,0.8646743377788002,0.13501418216199182,6549.0,8821.0,3269.0,1590.0,6550.0,9160.0,1261.0,412.0,1790.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
office_4,seq_0004,18,16,16,topk_mass3,subset,0.1,391259,3,39125,51460,0.291711207816215,0.15144013014821983,0.22157566898221742,0.2957188498402556,0.616206762534007,0.39964653390074467,0.47246006389776357,0.7519626894675476,0.5803099286387973,0.8073610223642173,0.9318694131364166,0.8651585514408234,0.13486433578209528,,,,,,,,,,,,,,,,,,
office_4,seq_0004,18,16,16,topk_count5,fixed,0.5,640201,5,320100,52573,4.027342013185092,0.10409698562417612,2.065719499404634,0.03751327710090597,0.680767694443916,0.07110818238187422,0.06169634489222118,0.8670610389363361,0.11519584733809998,0.11497656982193065,0.9839271108744032,0.20589350304378998,0.020762869383451864,6583.0,9162.0,3474.0,2822.0,7836.0,10442.0,1957.0,1076.0,2232.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
office_4,seq_0004,18,16,16,topk_count5,subset,0.5,640201,5,320100,51460,4.027625580657219,0.10315418583266751,2.065389883244943,0.037450796626054356,0.684045860862806,0.07101366902302733,0.06163074039362699,0.8688690244850369,0.11509737735631556,0.11493908153701968,0.9845705402254178,0.20584746392763745,0.020691862237122827,,,,,,,,,,,,,,,,,,
office_4,seq_0004,18,16,16,topk_count5,fixed,0.25,640201,5,160050,52573,3.480732098860132,0.14899107420150695,1.8148615865308193,0.06090596688534833,0.6000418465752383,0.11058703302454917,0.09562011871290221,0.749738458904761,0.16960868995056302,0.1684036238675414,0.9464363836950526,0.2859303858726813,0.03429601820922877,6579.0,9027.0,3339.0,1669.0,6519.0,9088.0,1192.0,378.0,1625.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
office_4,seq_0004,18,16,16,topk_count5,subset,0.25,640201,5,160050,51460,3.480970092513007,0.1476201962906323,1.8142951444018198,0.06077475788815995,0.6036727555382821,0.11043179429575525,0.09555139019056545,0.7523319082782743,0.16956663694290694,0.16837238363011559,0.9477263894286825,0.28594413876103053,0.03422595280769936,,,,,,,,,,,,,,,,,,
office_4,seq_0004,18,16,16,topk_count5,fixed,0.1,640201,5,64020,52573,2.8629524364378627,0.3452662592250229,1.6041093478314428,0.10196813495782568,0.4799992391531775,0.16820402440047869,0.14668853483286473,0.5989195975120309,0.23565901290650082,0.23150577944392378,0.7701862172598102,0.3560027655815151,0.05724582345296947,6535.0,8653.0,3250.0,530.0,5159.0,6885.0,45.0,1.0,429.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
office_4,seq_0004,18,16,16,topk_count5,subset,0.1,640201,5,64020,51460,2.8631139016138554,0.3397794091637375,1.6014466553887965,0.10179631365198376,0.4845705402254178,0.16824789591401873,0.14667291471415184,0.602914885347843,0.23594643229573126,0.23150577944392378,0.7740575204041974,0.3564147371382201,0.05722871362837557,,,,,,,,,,,,,,,,,,
office_4,seq_0004,18,16,16,topk_mass5,fixed,0.5,640201,5,320100,52573,2.6869380640262417,0.0674867845712545,1.377212424298748,0.05190253045923149,0.8449394175717574,0.09779759734255458,0.09086847860043737,0.9739980598406026,0.16622875949706392,0.17882849109653234,0.9988967721073555,0.30334952997646697,0.02765813853610651,6584.0,9519.0,3518.0,3056.0,8803.0,11145.0,4128.0,1523.0,2930.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
office_4,seq_0004,18,16,16,topk_mass5,subset,0.5,640201,5,320100,51460,2.687208544128828,0.06707055257162126,1.3771395483502245,0.05179943767572633,0.8473377380489701,0.09763052743755658,0.0907653858169322,0.9749125534395647,0.16606952399230338,0.17874726647922523,0.9989506412747765,0.30323514256057094,0.027531633917942045,,,,,,,,,,,,,,,,,,
office_4,seq_0004,18,16,16,topk_mass5,fixed,0.25,640201,5,160050,52573,1.6196425793660139,0.07055104538016581,0.8450968123730899,0.1026054358013121,0.8322522968063455,0.18268792487229954,0.17928772258669165,0.9672835866319214,0.3025055135225928,0.35032802249297096,0.9974321419740171,0.5185320639104622,0.0536313320204046,6582.0,9446.0,3481.0,3055.0,8720.0,11025.0,4097.0,1517.0,2930.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
office_4,seq_0004,18,16,16,topk_mass5,subset,0.25,640201,5,160050,51460,1.6198579992658029,0.07009991140472571,0.8449789553352642,0.10239300218681661,0.8345899727944034,0.18240709850922399,0.17908153701968135,0.9681305868635833,0.30225327979350824,0.35017806935332707,0.9975709288767975,0.518386528019419,0.053392939985660665,,,,,,,,,,,,,,,,,,
office_4,seq_0004,18,16,16,topk_mass5,fixed,0.1,640201,5,64020,52573,0.38173465010373725,0.09588718594769388,0.23881091802571558,0.22631990003124025,0.7327335324215852,0.3458246937984819,0.38422368009996877,0.8811367051528352,0.5351101416966589,0.7117775695095283,0.989994864283948,0.8281437921240409,0.11044507295932007,6553.0,8965.0,3324.0,2380.0,8220.0,10515.0,2551.0,1332.0,2484.0,6589.0,9624.0,3518.0,3071.0,8844.0,11237.0,4531.0,1981.0,3178.0
