scene,seq,n_steps,N_req,N,seed,n_vox,ranking,frac,ref,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou,recall_r0,recall_r1,recall_r2,prec_r0,prec_r1,prec_r2,kept_r0,kept_r1,kept_r2,nref_r0,nref_r1,nref_r2
apartment_2,seq_0005,18,4,4,1,4746,conf_filter50,0.25,fixed,1186,53901,0.08444789561687248,1.5521068476962625,0.8182773716565674,0.7512647554806071,0.06777239754364484,0.12432894766973586,0.9527824620573356,0.10461772508858834,0.1885339815454125,1.0,0.20049720784401032,0.33402361377264017,0.03140861049740252,,,,,,,,,,,,
apartment_2,seq_0005,18,4,4,1,23755,support_matchE50,0.25,fixed,1186,53901,0.07756389890698621,1.4841955310292407,0.7808797149681135,0.8077571669477235,0.07428433609766052,0.13605642062797896,0.9603709949409781,0.11804975788946402,0.21025478810434448,1.0,0.23828871449509287,0.3848677803580793,0.03499310923362694,,,,,,,,,,,,
apartment_2,seq_0005,18,4,4,1,4746,conf_filter50,0.25,subset,1186,37359,0.08460793681890641,1.2355147788236622,0.6600613578212843,0.7546374367622259,0.09298964105034932,0.16557626863164374,0.9527824620573356,0.1425359351160363,0.2479749076468872,1.0,0.2672983752241762,0.4218396874009927,0.035915890488286764,,,,,,,,,,,,
apartment_2,seq_0005,18,4,4,1,23755,support_matchE50,0.25,subset,1186,37359,0.0777217579065308,1.1631574481994018,0.6204396030529663,0.806070826306914,0.1034824272598303,0.18341788196012537,0.9586846543001686,0.16108568216494018,0.27582508035801045,1.0,0.31644315961348,0.4807547630182388,0.04068901963564188,,,,,,,,,,,,
apartment_2,seq_0005,18,4,4,1,4746,conf_filter50,0.1,fixed,474,53901,0.07290866054333005,1.7601429369790307,0.9165257987611803,0.8396624472573839,0.035657965529396485,0.06841073088952569,0.9725738396624473,0.061501641899037125,0.11568766318096846,1.0,0.13688057735478007,0.24080027415590988,0.015638415307248864,,,,,,,,,,,,
apartment_2,seq_0005,18,4,4,1,23755,support_matchE50,0.1,fixed,474,53901,0.06915348191283341,1.7387401745512052,0.9039468282320193,0.8565400843881856,0.0370865104543515,0.0710947569769473,0.9725738396624473,0.06556464629598709,0.12284769451606967,1.0,0.14138884250756015,0.24774877279672308,0.016635972989564148,,,,,,,,,,,,
apartment_2,seq_0005,18,4,4,1,4746,conf_filter50,0.1,subset,474,37359,0.07309237320913001,1.4434297994234009,0.7582610863162654,0.8459915611814346,0.05048314997724779,0.09528058813261646,0.9725738396624473,0.08530742257555074,0.15685648378058623,1.0,0.18415910490109477,0.3110377721015394,0.018371364000874826,,,,,,,,,,,,
apartment_2,seq_0005,18,4,4,1,23755,support_matchE50,0.1,subset,474,37359,0.06927209107475178,1.4230477142597076,0.7461599026672296,0.8544303797468354,0.05294574265906475,0.0997126767810763,0.9725738396624473,0.09092855804491555,0.1663084860426375,1.0,0.1908509328408148,0.3205286700083167,0.0197094678443682,,,,,,,,,,,,
apartment_2,seq_0005,18,4,4,2,19572,support,1.0,fixed,19572,53901,0.23501436387184785,0.6832427387374221,0.459128551304635,0.3410484365419988,0.39541010370865104,0.3662229176318552,0.5789393010423053,0.5745904528672937,0.5767566792986987,0.9045575311669732,0.7160906105638114,0.7993655601168147,0.12528006563791852,0.8860497886331611,0.4132966168371361,0.22263941037407872,0.6482623975009761,0.47155025553662694,0.29208472686733555,12805.0,5870.0,897.0,21290.0,25420.0,7191.0
apartment_2,seq_0005,18,4,4,2,19572,support,1.0,subset,19572,31807,0.24088545115659532,0.3480622476409255,0.2944738493987604,0.326435724504394,0.5242871066117522,0.4023544102385888,0.5661148579603515,0.7131763448297544,0.6311928422136128,0.9012364602493358,0.8488697456534725,0.8742696439852239,0.13653668453150988,,,,,,,,,,,,
apartment_2,seq_0005,18,4,4,2,19572,support,0.5,fixed,9786,53901,0.16824242161460673,0.8526145534081868,0.5104284875113968,0.4414469650521153,0.2837424166527523,0.34544694626785527,0.6857755977927652,0.4227008775347396,0.5230204761779299,0.967504598405886,0.5698595573365985,0.7172558825562393,0.11598516218081435,0.8710192578675434,0.16679779701022818,0.0,0.6801610621395147,0.7721943048576214,0.0,9189.0,597.0,0.0,21290.0,25420.0,7191.0
apartment_2,seq_0005,18,4,4,2,19572,support,0.5,subset,9786,31807,0.17246322274039103,0.47533021095321293,0.323896716846802,0.42642550582464744,0.4097525701889521,0.4179228133767322,0.6738197424892703,0.5814443361524193,0.6242330670085279,0.9656652360515021,0.7364731034049109,0.8356388629048881,0.1379329063076756,,,,,,,,,,,,
apartment_2,seq_0005,18,4,4,2,19572,support,0.25,fixed,4893,53901,0.14665341561200984,1.114883328600295,0.6307683721061524,0.510116492949111,0.18259401495334038,0.26892682434842535,0.7402411608420192,0.3053932209049925,0.4323970908039451,0.9822194972409565,0.4658726183187696,0.6319890344358645,0.08761016070502851,0.7254579614842649,0.03996852871754524,0.0,0.7374533388635421,0.9295774647887324,0.0,4822.0,71.0,0.0,21290.0,25420.0,7191.0
apartment_2,seq_0005,18,4,4,2,19572,support,0.25,subset,4893,31807,0.14947762736792566,0.6879483093954418,0.41871296838168376,0.49908031882280807,0.27547395227465654,0.3550006321282414,0.7294093603106478,0.44178954318231833,0.5502830085026347,0.9816063764561619,0.6322193227905807,0.7690923733085832,0.1124956732433368,,,,,,,,,,,,
apartment_2,seq_0005,18,4,4,2,19572,support,0.1,fixed,1957,53901,0.10068300617499747,1.4798576632823297,0.7902703347286636,0.7015840572304548,0.1002393276562587,0.17541597193767813,0.8763413387838528,0.16073913285467803,0.2716517198675417,0.9974450689831375,0.28157177046808035,0.43916915767698983,0.0541566863352223,0.3976045091592297,0.007828481510621557,0.0,0.8758337609030272,1.0,0.0,1949.0,8.0,0.0,21290.0,25420.0,7191.0
