N_req,method,param,N,n_vox,n_cand,kept,kept_frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
4,oracle,0.25,4.0,29268.358974358973,29268.358974358973,7316.74358974359,0.2499869235534558,7316.74358974359,34478.53846153846,0.05135110761823757,0.2913231161792149,0.17133711189872622,0.9277379177919911,0.5473771408019945,0.6871617769970171,1.0,0.6886597320066019,0.8142519908661553,1.0,0.8460176168307674,0.9153835101825784,0.26645461493389494
4,oracle,0.5,4.0,29268.358974358973,29268.358974358973,14633.97435897436,0.4999922361293176,14633.97435897436,34478.53846153846,0.1159051294495566,0.24924639644046045,0.18257576294500852,0.559782854346679,0.5700131566366741,0.5611711297800315,0.8497649163121077,0.7403093469925042,0.7876474284474998,0.9932308655635368,0.8813803219040082,0.9330950088519975,0.19903828389445585
4,support,0.002,4.0,29268.358974358973,29268.358974358973,57.97435897435897,0.0019799207596196806,57.97435897435897,34478.53846153846,0.23394864751143699,1.9821773945835106,1.1080630210474738,0.7547782531044329,0.009390860219626911,0.01854355370765135,0.8001422584548765,0.024654623636336297,0.04779630350868431,0.8415936824501892,0.097816171678515,0.17481167964576508,0.002380618630867469
4,support,0.005,4.0,29268.358974358973,29268.358974358973,145.76923076923077,0.0049797686180238785,145.76923076923077,34478.53846153846,0.22817733489593053,1.903291623157317,1.0657344790266239,0.7624785812488283,0.0203476672059966,0.03960343309513566,0.8078067182278981,0.041316847995615746,0.07852480961524787,0.8468814171429844,0.12323426447367869,0.21456045815014185,0.006026128620255373
4,support,0.01,4.0,29268.358974358973,29268.358974358973,292.0769230769231,0.009978516591576449,292.0769230769231,34478.53846153846,0.21276309137860422,1.8048857962850553,1.0088244438318297,0.7741085888112761,0.037539916532675834,0.07151508190878414,0.8189650195324027,0.06440604943669272,0.11923639637971029,0.8602730757413816,0.15876622468646884,0.2670841228638842,0.012347855362279305
4,support,0.02,4.0,29268.358974358973,29268.358974358973,584.7948717948718,0.019979591205652545,584.7948717948718,34478.53846153846,0.20105988601690714,1.6576736515951376,0.9293667688060224,0.7797495749699842,0.06931020862034003,0.12702127588453024,0.8286408686088277,0.10527470903919318,0.18636520581225774,0.8692858438827045,0.21521963455080703,0.34324486842534835,0.024727988431223622
4,support,0.05,4.0,29268.358974358973,29268.358974358973,1462.871794871795,0.04998066638197964,1462.871794871795,34478.53846153846,0.1914281900580981,1.3341735333986555,0.7628008617283769,0.7587160485970053,0.15464758110738688,0.25594093951728364,0.8288125038395594,0.21557934233593953,0.34075623872705957,0.8838421513803556,0.3559428146692894,0.5042164737041726,0.05737903138248041
4,support,0.1,4.0,29268.358974358973,29268.358974358973,2926.3333333333335,0.09998198759870684,2926.3333333333335,34478.53846153846,0.20158898232181116,0.9894906882054457,0.5955398352636285,0.6849742621740086,0.2540774029502175,0.3687670087041238,0.7937265263552263,0.350713872674191,0.4837673557856301,0.885155139139374,0.517591371551918,0.6492121053299531,0.09513595021367278
4,support,0.25,4.0,29268.358974358973,29268.358974358973,7316.74358974359,0.2499869235534558,7316.74358974359,34478.53846153846,0.24681133773809824,0.5133620480943785,0.38008669291623837,0.5263863038587021,0.4058536105335347,0.45618310977714127,0.6853008555652775,0.5562508381453501,0.6109216746885767,0.8599629527339036,0.7389451857373756,0.7916053179072998,0.1392729990312708
4,support,0.5,4.0,29268.358974358973,29268.358974358973,14633.97435897436,0.4999922361293176,14633.97435897436,34478.53846153846,0.32103153803276296,0.30604259769382514,0.31353706786329405,0.4009245643971756,0.4973361051066128,0.44170953435644905,0.5732909416957234,0.659427437001473,0.6103308831572459,0.8031648595672698,0.8385331430745993,0.817570918564113,0.14639537521509413
