scene,seq,N_req,N,n_vox,method,param,n_cand,kept,kept_frac,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.2,699048,349524,0.5,349524,54151,1.293526959969731,0.2615748356723327,0.7775508978210318,0.06935146084389054,0.806836438846928,0.12772439728022225,0.1537433767066067,0.8224594190319662,0.25906028714138446,0.3936353440679324,0.852135694631678,0.5385110376286227,0.03876663146779303
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.2,699048,174762,0.25,174762,54151,1.148561985226928,0.4241989142004841,0.786380449713706,0.10149803733076984,0.6768480729811084,0.176524941972586,0.2154186836955402,0.7216117892559695,0.3317899817944316,0.45777686224694153,0.7821646876327307,0.577538346867427,0.05733566444992729
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.2,699048,69904,0.09999885558645472,69904,54151,0.7990964643362684,0.6608027083016828,0.7299495863189756,0.18296520943007552,0.5477091835792506,0.27429926774257213,0.3503376058594644,0.5861572270133516,0.4385564390977667,0.58232719157702,0.6546139498808886,0.6163583540474382,0.09481119927398486
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.2,699048,34952,0.04999942779322736,34952,54151,0.39982898905728986,0.850103440624385,0.6249662148408375,0.29729343099107347,0.4810068142785913,0.36746786864347425,0.5369649805447471,0.5309597237354804,0.5339454674715595,0.7758926527809568,0.6079666118815904,0.68174104020626,0.13147808698550242
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.2,699048,13980,0.019998626703745664,13980,54151,0.22476332536148508,1.0113735483764406,0.6180684368689628,0.4734620886981402,0.3477128769551809,0.40095928852254226,0.7157367668097282,0.3981828590423076,0.5116960066342369,0.9036480686695278,0.5053276947794131,0.6481848833437215,0.12975133816654244
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.2,699048,6990,0.009999313351872832,6990,54151,0.17898393652524133,1.1952106370680506,0.687097286796646,0.6193133047210301,0.27833281010507654,0.38406051024207616,0.7801144492131616,0.31574670827870216,0.44954338920719955,0.9163090128755365,0.41134974423371684,0.5678017428304951,0.10243004726253711
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.2,699048,3495,0.004999656675936416,3495,54151,0.13929744436952232,1.3729656688476537,0.756131556608588,0.7533619456366237,0.21222138095326032,0.331156323971086,0.8472103004291845,0.24745618732802718,0.38303434544483217,0.9150214592274678,0.33148048974164834,0.48666070948334117,0.07383401437226997
apartment_2,seq_0006,-1,18,86240,fake_posterior,0.2,699048,1398,0.0019998626703745664,1398,54151,0.06752550118376657,1.645755502273501,0.8566405017286338,0.8912732474964234,0.12193680633783309,0.21452415116252085,0.9198855507868383,0.16197300142194973,0.27544566398523546,0.9642346208869814,0.24134365016343187,0.38605855564410013,0.04111099969918781
apartment_2,seq_0006,-1,18,86240,fake_posterior_same_cand,0.2,86240,43120,0.5,43120,54151,0.5966094174130039,0.734276745861865,0.6654430816374344,0.2677411873840445,0.5090210707096822,0.350907641186818,0.4307282003710575,0.5569426234049233,0.4857709433432636,0.6597866419294991,0.6317888866318259,0.6454843076556437,0.12731143223106203
apartment_2,seq_0006,-1,18,86240,fake_posterior_same_cand,0.2,86240,21560,0.25,21560,54151,0.30257869526966724,0.9140736370595436,0.6083261661646054,0.42203153988868275,0.42069398533729757,0.42136170114509564,0.6218460111317254,0.478366050488449,0.5407503348382213,0.8378014842300556,0.5755203043341767,0.6823241091691312,0.16074872376630744
apartment_2,seq_0006,-1,18,86240,fake_posterior_same_cand,0.2,86240,8624,0.1,8624,54151,0.18651933548449143,1.171535515739505,0.6790274256119982,0.6709183673469388,0.2867906409853927,0.4018195651210437,0.7740027829313544,0.3277871138113793,0.46053814624565337,0.9093228200371057,0.4212110579675352,0.5757340469019098,0.14989935505073326
apartment_2,seq_0006,-1,18,86240,fake_posterior_same_cand,0.2,86240,4312,0.05,4312,54151,0.13820488138744963,1.4039378128881375,0.7710713471377936,0.8137755102040817,0.20594264187180292,0.3287007848606606,0.8573747680890538,0.23957082971690274,0.37449803341253046,0.913961038961039,0.32307805950028623,0.4773992338539325,0.10267753201396973
apartment_2,seq_0006,-1,18,86240,fake_posterior_same_cand,0.2,86240,1724,0.019990723562152132,1724,54151,0.1305108563112036,1.7948365894842337,0.9626737228977187,0.8306264501160093,0.09990581891377814,0.1783590284231787,0.8602088167053364,0.1302099684216358,0.22618263009794404,0.915893271461717,0.20583184059389484,0.336125126961021,0.04524505674215769
apartment_2,seq_0006,-1,18,86240,fake_posterior_same_cand,0.2,86240,862,0.009995361781076066,862,54151,0.12271771606780706,1.978781797186391,1.0507497566270991,0.8294663573085846,0.07215009879780614,0.13275285566040937,0.8549883990719258,0.09944414692249451,0.17816574326004597,0.925754060324826,0.16529703975919188,0.28050822863376834,0.02659088602456105
