scene,seq,n_steps,order,k,view,n_pts,overlap_frac,prec_pts_all,prec_overlap_pts,prec_new_pts,dist_nearest_m,angle_nearest_deg,n_new_vox,prec_new_vox,wrong_near,wrong_disp,wrong_hall
frl_apartment_5,seq_0011,18,spread,13,5,32768,0.9765625,0.90045166015625,0.91021875,0.4934895833333333,0.15,5.956258987959982,648,0.4382716049382716,187,121,56
frl_apartment_5,seq_0011,18,spread,14,7,32768,0.9742431640625,0.885406494140625,0.9001065029444931,0.3293838862559242,0.15,5.979992249668743,631,0.30427892234548337,313,84,42
frl_apartment_5,seq_0011,18,spread,15,9,32768,0.986236572265625,0.9427490234375,0.951016492867531,0.35033259423503327,0.15,6.413350711692356,429,0.337995337995338,122,103,59
frl_apartment_5,seq_0011,18,spread,16,11,32768,0.965118408203125,0.96417236328125,0.9727430830039526,0.7270341207349081,0.14999999999999977,6.793592210530637,531,0.4350282485875706,134,106,60
frl_apartment_5,seq_0011,18,spread,17,13,32768,0.988677978515625,0.97406005859375,0.9810476278667778,0.3638814016172507,0.14999999999999977,7.267001758188777,356,0.3707865168539326,111,67,46
frl_apartment_5,seq_0011,18,spread,18,16,32768,0.98760986328125,0.965087890625,0.9735801248377727,0.2881773399014778,0.14999999999999977,7.774566657296627,321,0.3052959501557632,101,85,37
frl_apartment_5,seq_0011,18,random,1,2,32768,0.0,0.779327392578125,,0.779327392578125,,,6708,0.714370900417412,1220,480,216
frl_apartment_5,seq_0011,18,random,2,10,32768,0.44287109375,0.944793701171875,0.9704382579933848,0.9244084136722174,1.2,41.59124127414323,3260,0.7487730061349693,535,211,73
frl_apartment_5,seq_0011,18,random,3,3,32768,0.796844482421875,0.853302001953125,0.8605185553981081,0.8249962445546042,0.15,5.676283296510883,2775,0.7376576576576577,404,177,147
frl_apartment_5,seq_0011,18,random,4,12,32768,0.780975341796875,0.95281982421875,0.980422804892345,0.8543959871812735,0.3,13.77993828224888,1959,0.6493108728943339,490,139,58
frl_apartment_5,seq_0011,18,random,5,0,32764,0.7930960810645831,0.745208155292394,0.7308832018472196,0.8001180115061218,0.3,10.940572373654284,2519,0.5915045653036919,513,287,229
frl_apartment_5,seq_0011,18,random,6,4,32768,0.89501953125,0.859039306640625,0.8817171303873431,0.6656976744186046,0.15,5.925686208179889,1278,0.5336463223787168,334,130,132
frl_apartment_5,seq_0011,18,random,7,7,32768,0.932861328125,0.885406494140625,0.9173318503009683,0.44181818181818183,0.45,17.445512162032802,1180,0.3864406779661017,527,148,49
frl_apartment_5,seq_0011,18,random,8,5,32768,0.949859619140625,0.90045166015625,0.9132530120481928,0.6579427875836884,0.15,5.956258987959982,985,0.5086294416243655,283,137,64
frl_apartment_5,seq_0011,18,random,9,16,32768,0.908782958984375,0.965087890625,0.9751502736827966,0.8648377383740381,0.6,28.639971234080534,672,0.5193452380952381,163,117,43
frl_apartment_5,seq_0011,18,random,10,13,32768,0.964202880859375,0.97406005859375,0.984048108877987,0.7050298380221653,0.14999999999999977,7.267001758188777,697,0.5294117647058824,173,97,58
frl_apartment_5,seq_0011,18,random,11,14,32768,0.959320068359375,0.97515869140625,0.983457929059965,0.7794448612153039,0.15000000000000022,7.293920019872497,647,0.5625965996908809,143,87,53
frl_apartment_5,seq_0011,18,random,12,11,32768,0.9615478515625,0.96417236328125,0.9729909864161482,0.7436507936507937,0.14999999999999977,6.793592210530637,584,0.4691780821917808,149,103,58
frl_apartment_5,seq_0011,18,random,13,6,32768,0.929473876953125,0.8912353515625,0.9148964113340119,0.579402855906534,0.15,5.871378780901362,1038,0.4749518304431599,372,118,55
frl_apartment_5,seq_0011,18,random,14,9,32768,0.96600341796875,0.9427490234375,0.950843495292854,0.7127468581687613,0.15,6.413350711692356,493,0.38742393509127787,136,104,62
frl_apartment_5,seq_0011,18,random,15,17,32768,0.9417724609375,0.9810791015625,0.9902786779001944,0.8322851153039832,0.14999999999999977,8.244940123535828,716,0.5614525139664804,184,88,42
frl_apartment_5,seq_0011,18,random,16,8,32768,0.94012451171875,0.87615966796875,0.9030059079400117,0.454638124362895,0.15,5.975836581783377,897,0.3612040133779264,394,102,77
frl_apartment_5,seq_0011,18,random,17,1,32768,0.89886474609375,0.75054931640625,0.7535818564541319,0.7235968617984309,0.15,5.804429988174517,1627,0.617701290719115,388,111,123
frl_apartment_5,seq_0011,18,random,18,15,32768,0.98370361328125,0.97930908203125,0.9874666501209902,0.4868913857677903,0.14999999999999977,7.338617514543405,460,0.4152173913043478,128,84,57
frl_apartment_5,seq_0011,18,sequential,1,0,32764,0.0,0.745208155292394,,0.745208155292394,,,7192,0.7451334816462737,942,614,277
frl_apartment_5,seq_0011,18,sequential,2,1,32768,0.670135498046875,0.75054931640625,0.7270822897217541,0.7982237024701637,0.15,5.804429988174517,3930,0.7015267175572519,828,176,169
frl_apartment_5,seq_0011,18,sequential,3,2,32768,0.782684326171875,0.779327392578125,0.8035637696416735,0.6920376351636006,0.15,5.744629467803826,2423,0.5848122162608337,651,179,176
frl_apartment_5,seq_0011,18,sequential,4,3,32768,0.887298583984375,0.853302001953125,0.8612553740326742,0.7906850798808557,0.15,5.676283296510883,1971,0.7123287671232876,310,132,125
frl_apartment_5,seq_0011,18,sequential,5,4,32768,0.876678466796875,0.859039306640625,0.8763184460611968,0.7362039099232863,0.15,5.925686208179889,1406,0.6109530583214794,307,122,118
frl_apartment_5,seq_0011,18,sequential,6,5,32768,0.853118896484375,0.90045166015625,0.9038454659273832,0.8807396634115936,0.15,5.956258987959982,1458,0.6618655692729767,297,137,59
frl_apartment_5,seq_0011,18,sequential,7,6,32768,0.821044921875,0.8912353515625,0.9175215581326197,0.7706343792633015,0.15,5.871378780901362,1425,0.5628070175438596,449,121,53
frl_apartment_5,seq_0011,18,sequential,8,7,32768,0.888031005859375,0.885406494140625,0.9351180452936527,0.49114200054510765,0.15,5.979992249668743,1394,0.4218077474892396,600,162,44
frl_apartment_5,seq_0011,18,sequential,9,8,32768,0.907745361328125,0.87615966796875,0.9051605311817112,0.5908038372477671,0.15,5.975836581783377,1285,0.4529182879377432,496,129,78
